Order-No.,Customer-No.,Item-No.,"Export to not EU [1 = n, 2 = y]","Dangerous Good [1 = n, 2 = y]",Planed-Master-Scenario-No.,Planed-Master-Order-Processing-Ongoing Position No.,Planed-Master-Order-Processing-Position-No. as an ID,Planed-Master-Order-Processing-Start-Time,Planed-Master-Order-Processing-End-Time,As-Is-Real-Order-Processing-Ongoing Position No.,As-Is-Master-Order-Processing-Position-No. as an ID,As-Is-Real-Order-Processing-Start-Time,As-Is-Real-Order-Processing-End-Time,Final Yield Quantity,Total Scrap Quantity
ORD0001,CUS0017,ITE0008,1,1,SCE001,1,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,1,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,89,13
ORD0001,CUS0017,ITE0008,1,1,SCE001,2,PR0002,2025-07-15 08:10:00,2025-07-15 08:20:00,2,PR0002,2025-07-15 08:10:00,2025-07-15 08:20:00,89,13
ORD0001,CUS0017,ITE0008,1,1,SCE001,3,PR0003,2025-07-15 08:20:00,2025-07-15 08:30:00,3,PR0003,2025-07-15 08:20:00,2025-07-15 08:30:00,89,13
ORD0001,CUS0017,ITE0008,1,1,SCE001,4,PR0004,2025-07-15 08:30:00,2025-07-15 08:40:00,4,PR0004,2025-07-15 08:30:00,2025-07-15 08:40:00,89,13
ORD0001,CUS0017,ITE0008,1,1,SCE001,5,PR0005,2025-07-15 08:40:00,2025-07-15 08:50:00,5,PR0005,2025-07-15 08:40:00,2025-07-15 08:50:00,89,13
ORD0002,CUS0010,ITE0022,2,2,SCE002,1,PR0010,2025-07-16 08:00:00,2025-07-16 08:15:00,1,PR0010,2025-07-16 08:00:00,2025-07-16 08:15:00,111,20
ORD0002,CUS0010,ITE0022,2,2,SCE002,2,PR0011,2025-07-16 08:15:00,2025-07-16 08:30:00,2,PR0011,2025-07-16 08:15:00,2025-07-16 08:30:00,111,20
ORD0002,CUS0010,ITE0022,2,2,SCE002,3,PR0012,2025-07-16 08:30:00,2025-07-16 08:45:00,3,PR0012,2025-07-16 08:30:00,2025-07-16 08:45:00,111,20
ORD0002,CUS0010,ITE0022,2,2,SCE002,4,PR0013,2025-07-16 08:45:00,2025-07-16 09:00:00,4,PR0013,2025-07-16 08:45:00,2025-07-16 09:00:00,111,20
ORD0002,CUS0010,ITE0022,2,2,SCE002,5,PR0014,2025-07-16 09:00:00,2025-07-16 09:15:00,7,PR0014,2025-07-16 09:30:00,2025-07-16 09:45:00,111,20
ORD0003,CUS0012,ITE0020,2,2,SCE002,1,PR0010,2025-07-17 08:00:00,2025-07-17 08:15:00,1,PR0010,2025-07-17 08:00:00,2025-07-17 08:15:00,124,10
ORD0003,CUS0012,ITE0020,2,2,SCE002,2,PR0011,2025-07-17 08:15:00,2025-07-17 08:30:00,2,PR0011,2025-07-17 08:15:00,2025-07-17 08:30:00,124,10
ORD0003,CUS0012,ITE0020,2,2,SCE002,3,PR0012,2025-07-17 08:30:00,2025-07-17 08:45:00,3,PR0012,2025-07-17 08:30:00,2025-07-17 08:45:00,124,10
ORD0003,CUS0012,ITE0020,2,2,SCE002,4,PR0013,2025-07-17 08:45:00,2025-07-17 09:00:00,4,PR0013,2025-07-17 08:45:00,2025-07-17 09:00:00,124,10
ORD0003,CUS0012,ITE0020,2,2,SCE002,5,PR0014,2025-07-17 09:00:00,2025-07-17 09:15:00,7,PR0014,2025-07-17 09:30:00,2025-07-17 09:45:00,124,10
ORD0004,CUS0016,ITE0036,1,1,SCE001,1,PR0001,2025-07-18 08:00:00,2025-07-18 08:10:00,1,PR0001,2025-07-18 08:00:00,2025-07-18 08:10:00,116,12
ORD0004,CUS0016,ITE0036,1,1,SCE001,2,PR0002,2025-07-18 08:10:00,2025-07-18 08:20:00,2,PR0002,2025-07-18 08:10:00,2025-07-18 08:20:00,116,12
ORD0004,CUS0016,ITE0036,1,1,SCE001,3,PR0003,2025-07-18 08:20:00,2025-07-18 08:30:00,3,PR0003,2025-07-18 08:20:00,2025-07-18 08:30:00,116,12
ORD0004,CUS0016,ITE0036,1,1,SCE001,4,PR0004,2025-07-18 08:30:00,2025-07-18 08:40:00,6,PR0004,2025-07-18 08:50:00,2025-07-18 09:00:00,116,12
ORD0004,CUS0016,ITE0036,1,1,SCE001,5,PR0005,2025-07-18 08:40:00,2025-07-18 08:50:00,7,PR0005,2025-07-18 09:00:00,2025-07-18 09:10:00,116,12
ORD0005,CUS0015,ITE0036,1,1,SCE001,1,PR0001,2025-07-19 08:00:00,2025-07-19 08:10:00,1,PR0001,2025-07-19 08:00:00,2025-07-19 08:10:00,89,16
